request_index,wall_s,emitted_tokens,tok_s,hit_pct,rss_gb,prompt_tokens,length_limited,prefix_reused,dt,t_edisk,t_ewait,t_emm,t_attn,t_kvb,t_head
1,51.85184058401501,60,1.517,75.2,66.43,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,43.8262681250053,60,1.621,91.1,83.31,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,54.56534358300269,60,1.393,93.6,83.96,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,57.26958191601443,60,1.234,95.0,83.96,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,66.37703224999132,60,1.111,94.9,83.96,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,51.09912716600229,60,1.441,95.5,83.96,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,46.29830037499778,60,1.557,95.4,83.96,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,46.66458070799126,60,1.557,95.9,83.96,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,47.163921875006054,60,1.568,94.8,89.41,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,44.85306391699123,60,1.572,95.5,92.0,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,45.44873058301164,60,1.58,95.4,92.0,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,49.31115337499068,60,1.445,95.9,92.0,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,58.663910125003895,60,1.27,94.8,92.0,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,60.237436333991354,60,1.199,95.5,92.0,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,47.42160933397827,60,1.542,95.4,92.0,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,46.99993479199475,60,1.548,95.9,92.0,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
