request_index,wall_s,emitted_tokens,tok_s,hit_pct,rss_gb,prompt_tokens,length_limited,prefix_reused,dt,t_edisk,t_ewait,t_emm,t_attn,t_kvb,t_head
1,47.83677595801419,60,1.667,75.5,65.4,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,40.04592933299136,60,1.791,91.3,81.57,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,42.97691508301068,60,1.626,94.7,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,45.907408250001026,60,1.675,95.0,88.24,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,55.157219167012954,60,1.284,94.3,88.24,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,58.69261791597819,60,1.241,95.6,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,45.47045020799851,60,1.644,95.6,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,42.02169095800491,60,1.76,95.9,88.24,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,48.78457687498303,60,1.49,95.2,88.24,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,47.25976549999905,60,1.539,95.7,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,43.13600516598672,60,1.704,95.9,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,53.671676917001605,60,1.314,96.0,88.24,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,48.8600570000126,60,1.543,95.2,88.24,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,52.918427040975075,60,1.328,95.7,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,48.5156597919995,60,1.547,95.9,88.24,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,45.19793875000323,60,1.643,95.8,88.24,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
